index,topics
PLAIN-815,"['cancer', 'chicken', 'meat', 'poultry', 'lymphoma', 'poultry viruses', 'poultry workers', 'leukemia', 'turkey', 'viral infections', 'mortality', 'farm animals', 'cervix health', 'wart viruses', 'vegetarians']"
PLAIN-816,"['junk food', 'fruit', 'plant-based diets', 'industry influence', 'vegans', 'smoking', 'vegetarians', 'vegetables', 'processed foods', 'tobacco', 'doughnuts', 'grains', 'heart disease', 'heart health', 'soda']"
PLAIN-817,"['milk', 'immune function', 'oral health', 'pain', 'wheat', 'ice cream', 'gluten', 'animal products', 'aphthous ulcers', 'dairy', 'allergies']"
PLAIN-818,"['broccoli', 'vegetables', 'smoking', 'lung cancer', 'cruciferous vegetables', 'cancer', 'lung health', 'antioxidants', 'spicy food', 'tea', 'pain', 'orgasm', 'mushrooms', 'tobacco', 'nausea']"
PLAIN-819,"['meat', 'animal protein', 'xeno-autoantibodies', ""women's health"", 'arginine', 'gelatin', 'protein', 'plant protein', 'IGF-1', 'vegetarians', 'plant-based diets', 'cancer', 'breast disease', 'breast cancer', 'dairy']"
PLAIN-820,"['olive oil', 'alcohol', 'mortality', 'meat', 'heart disease', 'Lyon Diet Heart Study', 'Mediterranean diet', 'plant-based diets', 'walnuts', 'wine', 'smoking', 'saturated fat', 'Greece', 'PREDIMED', 'omega-3 fatty acids']"
PLAIN-821,"['tuna', 'safety limits', 'fish', 'phytonutrients', 'antioxidants', 'brain disease', 'beans', 'industrial toxins', 'cooking methods', 'heavy metals', 'Alzheimer’s disease', 'dementia', 'cheese', 'mercury', 'brain health']"
PLAIN-822,"['vegetables', 'carrots', 'spices', 'supplements', 'plant-based diets', 'bananas', 'fruit', 'eye health', 'digoxin', 'diabetes', 'LDL cholesterol', 'ipecac', 'heart failure', 'glaucoma', 'cocaine']"
PLAIN-823,"['food additives', 'gold dust retinopathy', 'salmon', 'seafood', 'fish', 'feed additives', 'eye disease', 'eye health', 'factory farming practices', 'artificial colors']"
PLAIN-824,"['pain', 'peppers', 'nausea', 'mortality', 'medications', 'Propulcid', 'Salmonella', 'stomach health', 'substance P', 'spicy food', 'spices', 'side effects', 'irritable bowel syndrome', 'inflammation', 'Cayenne pepper']"
PLAIN-825,"['industry influence', 'gravy', 'food additives', 'Pepsi', 'safety limits', 'soy sauce', 'soda', 'Coca-Cola', 'carcinogens', 'beer', 'artificial colors', 'beverages', 'California', 'cancer', 'animal studies']"
PLAIN-826,"['maltodextrin', 'meat', 'plant-based diets', 'junk food', 'inflammatory bowel disease', ""Harvard Nurses' Health Study"", 'inflammation', 'plantains', 'Polysorbate 80', 'vegetables', 'vegetarians', 'xanthan gum', 'vegans', 'ulcerative colitis', 'processed foods']"
PLAIN-827,"['cancer', 'chicken', 'poultry', 'plant-based diets', 'smoking', 'vegetables', 'industry influence', 'turkey', 'meat', ""women's health"", 'side effects', 'children', 'dairy', 'fiber', 'eggs']"
PLAIN-828,"['erythritol', 'green tea', 'ginger', 'cocoa', 'cinnamon', 'cloves', 'nutmeg', 'phytonutrients', 'spices', 'tea', 'soy milk', 'soy', 'recipes', 'chai tea', 'beverages']"
PLAIN-829,"['mortality', 'nutrition myths', 'obesity', 'pears', 'medications', 'lovastatin', 'heart health', 'hypertension', 'LDL cholesterol', 'Lipitor', 'placebo', 'plant-based diets', 'vegetarians', 'water', 'weight loss']"
PLAIN-830,"['mortality', 'nutrition myths', 'obesity', 'pears', 'medications', 'lovastatin', 'heart health', 'hypertension', 'LDL cholesterol', 'Lipitor', 'placebo', 'plant-based diets', 'vegetarians', 'water', 'weight loss']"
PLAIN-831,"['heart disease', 'cardiovascular health', 'heart health', 'plant-based diets', 'mortality', 'cancer', 'diabetes', 'meat', 'vegetables', 'cholesterol', 'stroke', 'beans', 'fruit', 'Lifestyle medicine', 'medications']"
PLAIN-832,"['heart health', 'cardiovascular disease', 'cholesterol', 'plant-based diets', 'heart disease', 'cancer', 'mortality', 'meat', 'medications', 'diabetes', 'vegetables', 'beans', 'animal products', 'vegans', 'grains']"
PLAIN-833,"['supplements', 'meat', 'poultry', 'mortality', 'metastases', 'lecithin', ""men's health"", 'prostate cancer', 'milk', 'steak', 'American Egg Board', 'plant-based diets', 'vegetarians', 'trimethylamine', 'TMAO']"
PLAIN-834,"['vegetarians', 'omnivores', 'fat', 'weight loss', 'pancreas health', 'plant-based diets', 'oxidative stress', 'mortality', 'nuts', 'muscle health', 'olives', 'trans fats', 'metabolism', 'mitochondria', 'obesity']"
PLAIN-835,"['plant-based diets', 'supplements', 'taurine', 'vegetarians', 'metabolism', 'meat', 'birth defects', 'carnitine', 'creatine', 'arachidonic acid']"
PLAIN-836,"['colon health', 'laxatives', 'Metamucil', 'juice', 'grapes', 'gut flora', 'onions', 'phytonutrients', 'cocoa', 'DNA damage', 'vegetables', 'stool size', 'polyphenols', 'smoothies', 'fruit juice']"
PLAIN-837,"['cardiovascular disease', 'heart disease', 'pasta', 'oats', 'millet', 'heart health', 'processed foods', 'rice', 'wheat', 'teff', 'rye', 'health food stores', 'quinoa', 'bread', 'nutrition myths']"
PLAIN-838,"['inflammation', 'inflammatory bowel disease', 'infants', 'infant formula', 'grains', 'Ireland', 'leaky gut theory', 'safety limits', 'yogurt', 'potato chips', 'milk', 'McDonald’s', 'french fries', 'food additives', 'cheese']"
PLAIN-839,"['vegetables', 'fruit', 'cancer', 'smoking', 'bananas', 'collard greens', 'antioxidants', 'greens', 'kale', 'oranges', 'broccoli', 'vegans', 'cooking methods', 'vegetarians', 'tomatoes']"
PLAIN-840,"['inflammation', 'joint health', 'phytonutrients', 'arthritis', 'immune function', 'medications', 'autoimmune diseases', 'joint disease', 'osteoarthritis', 'meat', 'spices', 'rheumatoid arthritis', 'cancer', 'liver health', 'vegetables']"
PLAIN-841,"['milk', 'obesity', 'soy', 'dairy', 'calories', 'body fat', 'Alli', 'almonds', 'animal protein', 'abdominal fat', 'tea', 'phytonutrients', 'soy milk', 'bowel movements', 'water']"
PLAIN-842,"['nuts', 'almonds', 'walnuts', 'macadamia nuts', 'cancer', 'brazil nuts', 'pine nuts', 'peanuts', 'pistachios', 'pecans', 'mortality', 'oxidative stress', 'weight loss', 'hazelnuts', 'antioxidants']"
PLAIN-843,"['milk', 'dairy', 'infants', 'crib death', 'SIDS', 'apnea', 'evolution', 'animal protein', 'Judaism', 'industry influence', 'lung health', 'mucus', 'sinus health', 'casein', 'Maimonides']"
PLAIN-844,"['mortality', 'leukemia', 'Japan', 'infants', 'Nagasaki', 'radiation', 'X-rays', ""women's health"", 'stress test', 'smoking', 'iatrogenic', 'Hiroshima', 'breast health', 'breast cancer', 'brain tumors']"
PLAIN-845,"['eye health', 'vegetables', 'vision', 'fruit', 'vegetarians', 'kidney disease', 'blindness', 'kidney health', 'vegans', ""men's health"", 'plant-based diets', 'heart disease', 'eye disease', 'smoking', 'greens']"
PLAIN-846,"['phytonutrients', 'oolong tea', 'sustainability', 'Taiwan', 'white tea', 'tea', 'nutrition myths', 'green tea', 'black tea', 'beverages', 'caffeine', 'convenience', 'antioxidants']"
PLAIN-847,"['milk', 'mineral clay', 'meat', 'industrial toxins', 'heart disease', 'heart health', 'persistent organic pollutants', 'pesticides', 'vegans', 'vegetarians', 'Taiwan', 'poultry', 'plant-based diets', 'fish', 'feed additives']"
PLAIN-848,"['meat', 'dogs', 'animal products', 'pets', 'medications', 'viral infections', 'poultry', 'fish', 'children', 'chicken', 'zoonotic disease', 'evolution', 'immune function', 'eggs', 'apes']"
PLAIN-850,"['vegetables', 'cruciferous vegetables', 'broccoli', 'kale', 'cabbage', 'Brussels sprouts', 'greens', 'phytonutrients', 'collard greens', 'cooking methods', 'fruit', 'breast cancer', 'plant-based diets', 'raw food', 'spinach']"
PLAIN-851,"['dental health', 'fruit', 'vegetarians', 'heart disease', 'cardiovascular disease', 'plant-based diets', 'vegans', 'animal products', 'animal fat', ""men's health"", 'rectal cancer', 'water', ""women's health"", 'heart health', 'cardiovascular health']"
PLAIN-852,"['spices', 'side effects', 'medications', 'inflammation', 'capsaicin', 'colon disease', 'colon health', 'Campylobacter', 'chronic diseases', 'abdominal pain', 'rosemary', 'Tumor necrosis factor', 'turmeric', 'dyspepsia', 'bloating']"
PLAIN-853,"['mortality', 'food poisoning', 'foodborne illness', 'industry influence', 'meat', 'cooking methods', 'vegetables', 'turkey', 'antibiotics', 'Salmonella', 'fruit', 'chicken', 'cancer', 'depression', 'children']"
PLAIN-854,"['vegetables', 'carrots', 'phytonutrients', 'fruit', 'broccoli', 'spinach', 'cancer', 'plant-based diets', 'cauliflower', 'eggplant', 'garlic', 'asparagus', 'antioxidants', 'bell peppers', 'lettuce']"
PLAIN-855,"['purslane', 'oral health', 'mouth cancer', 'steroids', 'sunchokes', 'watercress', 'vegetables', 'medications', 'lichen planus', 'autoimmune diseases', 'artichokes', 'complementary medicine', 'fiddlehead ferns', 'Jerusalem artichokes', 'immune function']"
PLAIN-856,"['gluten', 'wheat', 'diarrhea', 'irritable bowel syndrome', 'pasta', 'gut flora', 'autoimmune diseases', 'grains', 'food sensitivities', 'allergies', 'bagels', 'bread', 'chronic diseases', 'cancer', 'cardiovascular disease']"
PLAIN-857,"['cancer', 'plant-based diets', 'breast cancer', 'exercise', 'immune function', 'prostate cancer', 'breast disease', 'IGF-1', 'vegans', 'inflammation', 'vegetarians', 'cardiovascular disease', 'lifespan', 'longevity', 'heart health']"
PLAIN-858,"['occupational health', 'children', 'cancer', 'prostate health', 'rectal cancer', 'stomach cancer', 'prostate cancer', 'processed meat', 'pancreas health', 'pancreatic cancer', 'stomach health', 'testicular cancer', ""women's health"", 'brain health', 'testicular health']"
PLAIN-859,"['cancer', 'fruit', 'colon health', ""women's health"", 'grains', 'nuts', 'turkey', 'colon cancer', 'plant-based diets', 'cholesterol', 'vegans', 'vegetables', 'vegetarians', 'cheese', 'rectal cancer']"
PLAIN-860,"['parasites', 'persistent organic pollutants', 'organic foods', 'meat', 'liver', 'pesticides', 'pork', 'turkey', 'safety limits', 'rice', 'poultry', 'lead', 'Johns Hopkins University', 'carcinogens', 'cancer']"
PLAIN-861,"['processed foods', 'ice cream', 'industry influence', 'meat', 'USDA', 'chicken', 'children', 'poultry', 'brain health', 'Pew Commission', 'brain tumors', 'mortality', 'cancer', 'botulism', 'Salmonella']"
PLAIN-862,"['phytoestrogens', 'phytonutrients', 'pesticides', 'organic foods', 'medications', 'multivitamins', 'plant-based diets', 'potassium', 'vitamin C', 'vitamin E', 'vegetables', 'supplements', 'potatoes', 'marketing', 'lycopene']"
PLAIN-863,"['nuts', 'olives', 'omnivores', 'muscle health', 'mortality', 'meat', 'milk', 'monounsaturated fats', 'oxidative stress', 'pancreas health', 'vegetable oil', 'vegetarians', 'weight loss', 'vegans', 'trans fats']"
PLAIN-864,"['cancer', 'rectal cancer', 'cervix health', 'colon cancer', ""women's health"", 'breast cancer', 'vegetables', 'leukemia', ""men's health"", 'immune function', 'colon health', 'phytonutrients', 'liver health', 'mortality', 'vegetarians']"
PLAIN-865,"['cervical cancer', 'cancer', ""women's health"", 'rectal cancer', 'colon cancer', 'colon health', 'breast cancer', 'liver health', 'phytonutrients', 'vegetables', 'human papilloma virus', 'alternative medicine', ""men's health"", 'leukemia', 'liver cancer']"
PLAIN-866,"['radiation', 'reproductive health', 'polonium', 'nicotine', 'milk', 'mortality', 'safety limits', 'seafood', 'tuna', 'water', 'tobacco', 'smoking', 'shrimp', ""men's health"", 'Japan']"
PLAIN-867,"['oats', 'phytonutrients', 'rash', 'skin health', 'oatmeal', 'grains', 'cancer', 'chemotherapy', 'complementary medicine', 'alternative medicine']"
PLAIN-868,"['cocoa', 'erythritol', 'cloves', 'ginger', 'cinnamon', 'antioxidants', 'beverages', 'cardamom', 'green tea', 'nutmeg', 'spices', 'tea', 'soy', 'soy milk', 'recipes']"
PLAIN-870,"['herbal tea', ""women's health"", 'red tea', 'alternative medicine', 'complementary medicine', 'prostate health', 'cancer', 'rooibos tea', 'bone health', ""men's health"", 'tea', 'breast health', 'dandelion', 'theanine', 'beverages']"
PLAIN-871,"['heart health', 'heart disease', 'LDL cholesterol', 'raisins', 'ranking foods', 'grapes', 'golden raisins', 'cardiovascular disease', 'cholesterol', 'currants', 'dried fruit', 'antioxidants']"
PLAIN-872,"['portobello mushrooms', 'crimini mushrooms', 'shiitake mushrooms', 'oyster mushrooms', 'mushrooms', ""women's health"", 'woodear mushrooms', 'ranking foods', 'porcini mushrooms', 'morel mushrooms', 'alcohol', 'enoki mushrooms', 'breast disease', 'breast cancer', 'breast health']"
PLAIN-873,"['omnivores', 'plant-based diets', 'oats', 'nuts', 'mold', 'nutrition myths', 'red yeast rice', 'seeds', 'supplements', 'vegetarians', 'sugar', 'strawberries', 'soda', 'statins', 'Mevacor']"
PLAIN-874,"['meat', 'animal products', 'dairy', 'industry influence', 'fat', 'eggs', 'chicken', 'water', 'animal fat', 'milk', 'cardiovascular disease', 'heart disease', 'cholesterol', 'junk food', 'plant-based diets']"
PLAIN-875,"['mood', 'nutmeg', 'onions', 'oregano', 'mental health', 'medications', 'kale', 'lung cancer', 'lung health', 'MAO Inhibitors', 'phytonutrients', 'plant-based diets', 'tobacco', 'vegans', 'vegetables']"
PLAIN-876,"['maggots', 'insects', 'parasites', 'urinary tract infections', 'worms', 'fermented foods', 'dairy', 'cheese itch', 'cheese mites', 'colon health', 'cheese']"
PLAIN-877,"['maggots', 'insects', 'parasites', 'urinary tract infections', 'worms', 'fermented foods', 'dairy', 'cheese fly', 'cheese mites', 'colon health', 'cheese']"
PLAIN-878,"['maggots', 'insects', 'parasites', 'urinary tract infections', 'worms', 'fermented foods', 'dairy', 'cheese fly', 'cheese itch', 'colon health', 'cheese']"
PLAIN-879,"['New York Coalition for Healthy School Food', 'obesity', 'junk food', 'ice cream', 'hydrogenated fats', 'oils', 'School Lunch Program', 'Veggiecation', 'vegetables', 'trans fats', 'Texas', 'green beans', 'fruit', 'carrots', 'calories']"
PLAIN-880,"['asthma', 'children', 'allergies', 'meat', 'hay fever', 'sleep', 'omnivores', 'plant-based diets', 'pesticides', 'Poland', 'vegetarians', 'fragrance', 'citrus', 'carcinogens', 'eczema']"
PLAIN-881,"['cancer', 'side effects', 'mortality', 'vegetables', 'alternative medicine', 'smoking', 'complementary medicine', 'fruit', 'curcumin', 'FDA', 'colon cancer', 'spices', 'antioxidants', 'rectal cancer', 'turmeric']"
PLAIN-882,"['radiation', 'fish', 'seafood', 'dairy', 'cooking temperature', 'industry influence', 'fertility', 'Fukushima', 'cooking methods', 'carcinogens', 'X-rays', 'vitamin E', 'zeaxanthin', 'beverages', 'infertility']"
PLAIN-883,"['inflammation', 'fruit', 'phytonutrients', 'juice', 'side effects', 'muscle health', 'berries', 'complementary medicine', 'alternative medicine', 'oxidative stress', 'antioxidants', 'pain', 'chronic diseases', 'tart cherries', 'heart disease']"
PLAIN-884,"['oils', 'liver health', 'herbs', 'oxidative stress', 'safety limits', 'tarragon', 'spices', 'herbal remedies', 'hemlock', 'cancer', 'anise', 'DNA damage', 'fat', 'fish', 'fennel']"
PLAIN-885,"['nuts', 'lifespan', 'heart disease', 'longevity', 'mortality', 'coconuts', 'peanuts', 'heart health', 'cancer', 'cardiovascular disease', 'Surgeon General', 'kidney health', 'natural toxins', 'stress', 'allergies']"
PLAIN-886,"['exercise', 'dietary guidelines', 'industry influence', 'chewing gum', 'sugar', 'USDA', 'Sugar Association', 'beef', ""National Cattlemen's Beef Association"", 'weight loss', 'nutrient absorption', 'fat', 'calories', 'nuts', 'obesity']"
PLAIN-887,"['sugar', 'beef', 'meat', 'industry influence', 'nanoparticles', 'marshmallows', 'plant-based diets', 'pork', 'poultry', 'inflammatory bowel disease', 'inflammation', 'fish', 'doughnuts', 'food additives', 'gut flora']"
PLAIN-888,"[""men's health"", 'lignans', 'omega-3 fatty acids', 'prostate cancer', 'seeds', 'prostate health', 'heart health', 'heart disease', 'cardiovascular disease', 'cholesterol', 'fiber', 'flax seeds', 'cancer']"
PLAIN-889,"['poultry', 'Outback Steakhouse', 'heterocyclic amines', 'restaurants', 'salads', 'white meat', ""TGI Friday's"", 'sandwiches', 'grilling', 'frying', 'cancer', 'Burger King', 'barbecuing', 'carcinogens', 'fast food']"
PLAIN-890,"['meat', 'fish', 'vegetarians', 'animal products', 'pork', 'fruit', 'plant-based diets', 'vegetables', 'vegans', 'beef', 'cancer', 'heart disease', 'eggs', 'fat', 'poultry']"
PLAIN-891,"['poultry viruses', 'processed meat', 'poultry', 'obesity', 'lung cancer', 'red meat', 'smoking', 'weight loss', 'viral infections', 'turkey', 'tobacco', 'liposuction', 'fecal contamination', 'body fat', 'animal studies']"
PLAIN-892,"['beans', 'lentils', 'split peas', 'legumes', 'meat', 'cancer', 'vegetables', 'vegans', 'vegetarians', 'plant-based diets', 'antioxidants', 'grains', 'diabetes', 'medications', 'animal products']"
PLAIN-893,"[""women's health"", 'meat', 'dairy', 'cancer', 'adolescence', 'milk', ""men's health"", 'cardiovascular disease', 'heart disease', 'hormones', 'pregnancy', 'chronic diseases', 'obesity', 'reproductive health', 'organic foods']"
PLAIN-894,"['nightshades', 'internal bleeding', 'endorphins', 'nutrition myths', 'spicy food', 'stomach ulcers', 'stomach inflammation', 'cancer', 'surgery', 'complementary medicine', 'cluster headaches', 'headaches', 'pain', 'suicide', 'peppers']"
PLAIN-895,"['poultry', 'Outback Steakhouse', 'heterocyclic amines', 'restaurants', 'salads', 'white meat', ""TGI Friday's"", 'sandwiches', 'grilling', 'frying', 'cancer', 'Burger King', 'barbecuing', 'carcinogens', 'Chick-fil-A']"
PLAIN-896,"['meat', 'plant-based diets', 'cardiovascular disease', 'eggs', 'heart disease', 'fruit', 'vegans', 'vegetables', 'animal products', 'vegetarians', 'chicken', 'animal fat', 'dairy', 'cholesterol', 'heart health']"
PLAIN-897,"['plant-based diets', 'heart disease', 'vegans', 'meat', 'vegetables', 'vegetarians', 'mortality', 'fruit', 'cardiovascular disease', 'beans', 'animal products', 'standard American diet', 'heart health', 'lifespan', 'grains']"
PLAIN-898,"['seeds', 'soy', 'standard American diet', 'protein', 'prostatectomy', 'plant-based diets', 'prostate cancer', 'prostate health', 'supplements', 'vegans', 'food additives', 'MSG', 'nutrition myths', 'Bragg Liquid Aminos', 'allergies']"
PLAIN-899,"['supplements', 'complementary medicine', 'alternative medicine', 'side effects', 'spirulina', 'respiratory infections', 'psychosis', 'blue-green algae', 'natural toxins', 'nutrition myths', 'neurotoxins', 'mental health', 'pets', 'health food stores', 'liver disease']"
PLAIN-900,"['phytonutrients', 'plant-based diets', 'potatoes', 'periodontal disease', 'peas', 'mouthwash', 'oral health', 'oxidative stress', 'prediabetes', 'side effects', 'vegans', 'vegetarians', 'vomiting', 'tobacco', 'sugar']"
PLAIN-901,"['omnivores', 'plant-based diets', 'psychosis', 'nail health', 'multivitamins', 'mental health', 'mortality', 'rash', 'skin health', 'vegetarians', 'vitamin B12', 'vitamin D', 'vegans', 'supplements', 'longevity']"
PLAIN-902,"['plant-based diets', 'phytonutrients', 'peanut butter', 'spinach', 'Swiss chard', 'vegetarians', 'vegetables', 'vegans', 'mustard greens', 'kale', 'carcinogens', 'cancer', 'collard greens', 'detoxification', 'greens']"
PLAIN-903,"['phytonutrients', 'vegetables', 'fruit', 'plant-based diets', 'cocoa', 'DNA damage', 'kale', 'junk food', 'dairy', 'tea', 'antioxidants', 'candy', 'oxidative stress', 'milk', 'vegetarians']"
PLAIN-904,"['nuts', 'mortality', 'obesity', 'plant protein', 'pneumonia', ""men's health"", 'melanoma', 'heartburn', 'McDonald’s', 'meat', 'medications', 'poultry', 'prostate cancer', 'vegetarians', 'vegetables']"
PLAIN-905,"['necrotizing fasciitis', 'oysters', 'mercury', 'mad cow disease', 'foodborne illness', 'prion disease', 'seafood', 'white meat', 'tapeworms', 'sushi', 'sexual transmission', 'food poisoning', 'flesh-eating bacteria', 'ciguatera', 'brain parasites']"
PLAIN-906,"['heart health', 'cardiovascular health', 'cardiovascular disease', 'mortality', 'meat', 'cancer', 'plant-based diets', 'heart disease', 'vegetables', 'diabetes', 'fiber', 'grains', 'standard American diet', 'nuts', 'beans']"
PLAIN-907,"['heart health', 'industry influence', 'stroke', 'American Egg Board', 'heart disease', 'mortality', 'cholesterol', 'eggs', 'milk', 'poultry', 'trimethylamine', 'turkey', 'cardiovascular disease', 'chicken', 'red meat']"
PLAIN-908,"['neurotoxins', ""Lou Gehrig's disease"", 'hypertension', 'health food stores', 'nutrition myths', ""Parkinson's disease"", 'supplements', 'spirulina', 'parkinsonism-dementia complex', 'flying foxes', 'complementary medicine', 'blood pressure', 'Alzheimer’s disease', 'alternative medicine', 'ALS']"
PLAIN-909,"['cardiovascular disease', 'plant-based diets', 'heart disease', 'fruit', 'diabetes', 'cancer', 'vegetables', 'cholesterol', 'stroke', 'meat', 'mortality', 'exercise', 'nuts', 'grains', 'vegans']"
PLAIN-910,"['depression', 'brain health', 'mental health', 'vegans', 'pain', 'plant-based diets', 'vegetarians', 'fatigue', 'chronic diseases', 'brain disease', 'flexitarians', 'insomnia', 'sleep', 'reversing chronic disease', 'raw food']"
PLAIN-911,"['food poisoning', 'foodborne illness', 'seafood', 'fish', 'sexual transmission', 'brain health', 'fecal contamination', 'flesh-eating bacteria', 'eye parasites', 'eye health', 'cooking temperature', 'eye disease', 'mad cow disease', 'mercury', 'tapeworms']"
PLAIN-912,"['coriander', 'heart disease', 'Harvard', 'heart health', 'kale', 'hypertension', 'greens', 'garlic', 'celery', 'eggplant', 'exercise', 'fruit', 'lettuce', 'mushrooms', 'squash']"
PLAIN-913,"['spices', 'antioxidants', 'cloves', 'blood sugar', 'diabetes', 'nutmeg', 'recipes', 'inflammation', 'ginger', 'medications', 'oregano', 'cancer', 'alternative medicine', 'oxidative stress', 'complementary medicine']"
PLAIN-914,"['liver health', 'mortality', 'liver disease', 'heart health', 'fruit', 'grains', 'nonalcoholic fatty liver disease', 'oatmeal', 'vegetables', 'weight loss', 'smoking', 'rice', 'obesity', 'fiber', 'exercise']"
PLAIN-915,"['fruit juice', 'tea', 'lemons', 'limes', 'citrus', 'herbal tea', 'children', 'oranges', 'plant-based diets', 'raisins', 'soda', 'raw food', 'grapefruit', 'oral health', 'juice']"
PLAIN-916,"['cholesterol', 'watermelon', 'cardiovascular disease', 'heart disease', 'heart health', 'impotence', 'penis health', ""men's health"", 'medications', 'sexual dysfunction', 'nitric oxide', 'cardiovascular health', 'arginine', 'side effects', 'sexual health']"
PLAIN-917,"['fruit', 'phytonutrients', 'medications', 'vegetables', 'fat', 'side effects', 'tea', 'plant-based diets', 'lemons', 'limes', 'exercise', 'vitamin C', 'apples', 'berries', 'meat']"
PLAIN-918,"['persistent organic pollutants', 'plant-based diets', 'organochlorines', 'omnivores', 'neurotoxins', 'poultry', 'prion disease', 'vegetarians', 'vegans', 'seafood', 'saturated fat', 'mercury', 'manure', 'chicken', 'cheese']"
PLAIN-919,"['Medicare', 'medical profession', 'longevity', 'mortality', 'plant-based diets', 'surgery', 'Pritikin', 'lifespan', 'heart health', 'cardiovascular disease', 'angina', 'cost savings', 'Dr. Dean Ornish', 'heart disease', 'exercise']"
PLAIN-920,"['industry influence', 'heart disease', 'heart health', 'cardiovascular disease', 'cancer', 'meat', 'red meat', 'supplements', 'mortality', 'stroke', 'cardiovascular health', 'cholesterol', 'Harvard', 'dairy', 'vegans']"
PLAIN-921,"['antioxidants', 'phytonutrients', 'oxidative stress', 'fruit', 'cinnamon', 'berries', 'amla', 'medications', 'India', 'spices', 'dried fruit', 'gooseberries', 'nutmeg', 'recipes', 'blueberries']"
PLAIN-922,"['surgery', 'alternative medicine', 'pain', 'headaches', 'complementary medicine', 'muscle health', 'multiple sclerosis', 'morbidity', 'mortality', 'milk', 'methionine', 'migraine headaches', 'mushrooms', 'mood', 'oils']"
PLAIN-923,"['industry influence', 'soda', 'fruit', 'meat', 'poultry', 'chicken', 'vegetables', 'eggs', 'Pepsi', 'calories', 'dairy', 'sugar', 'animal products', 'cancer', 'vegans']"
PLAIN-924,"['plant-based diets', 'fat', 'dopamine', 'medications', 'vegetarians', 'vegans', 'animal products', 'body fat', 'spices', 'cholesterol', 'soda', 'weight loss', 'brain waves', 'alternative medicine', 'sugar']"
PLAIN-925,"['alternative medicine', 'yeast', 'complementary medicine', 'nasal irrigation', 'sinusitis', 'sinus health', 'neti pot', 'vitamin D', 'supplements', 'lifespan', 'dietary guidelines', 'longevity', 'mortality', 'sheep', 'mushrooms']"
PLAIN-926,"['chocolate', 'phytonutrients', 'ranking foods', 'antioxidants', 'berries', 'cinnamon', 'acaí berries', 'junk food', 'spices', 'cloves', 'fat', 'Dutched cocoa', 'cardiovascular disease', 'heart disease', 'corn']"
PLAIN-927,"['saturated fat', 'processed foods', 'sugar', 'dark chocolate', 'chocolate', 'cocoa', 'immune function', 'hypertension', 'heart disease', 'HDL cholesterol', 'marketing', 'heart health', 'milk chocolate', 'torcetrapib', 'phytonutrients']"
PLAIN-928,"['LDL cholesterol', 'heart health', 'heart disease', 'coconuts', 'medium-chain fatty acids', 'cholesterol', 'cardiovascular disease', 'saturated fat', 'processed foods', 'shrimp', 'Egg McMuffin', 'fiber', 'Malaysia', 'coconut water', 'coconut oil']"
PLAIN-929,"['cholesterol', 'fat', 'cognition', 'heart disease', 'Alzheimer’s disease', 'LDL cholesterol', 'saturated fat', ""women's health"", 'coconuts', 'medium-chain fatty acids', 'heart health', 'dementia', 'brain health', 'brain disease', 'cardiovascular disease']"
PLAIN-930,"['LDL cholesterol', 'heart health', 'medium-chain fatty acids', 'processed foods', 'saturated fat', 'heart disease', 'coconuts', 'cholesterol', 'cardiovascular disease', 'coconut milk', 'coconut oil', 'butter']"
PLAIN-931,"['medium-chain fatty acids', 'heart health', 'heart disease', 'cardiovascular disease', 'brain health', 'nuts', 'chestnuts', 'processed foods', 'mental health', 'tobacco', 'coconut milk', 'saturated fat', 'LDL cholesterol', 'cognition', 'exercise']"
PLAIN-932,"['red meat', 'salmon', 'plant-based diets', 'oxalates', 'meat', 'steak', 'tuna', 'vegetarians', 'vegans', 'uric acid', 'United Kingdom', 'magnesium', 'kidney stones', 'chicken', 'calcium']"
PLAIN-933,"['fish oil', 'supplements', 'fish', 'vitamin A', 'liver disease', 'persistent organic pollutants', 'nutrition myths', 'animal fat', 'fat', 'liver health', 'complementary medicine', 'lung health', 'breast milk', 'asthma', 'anchovies']"
PLAIN-934,"['caffeine', 'poultry', 'phytonutrients', 'safety limits', 'fruit', 'vegans', 'liver health', 'vegetarians', 'liver disease', 'fat', 'cancer', 'fish', 'milk', 'tea', 'chicken']"
PLAIN-935,"['brain health', 'dementia', 'Alzheimer’s disease', 'brain disease', 'mortality', 'meat', 'vegans', 'vegetarians', 'fruit', 'aging', 'vegetables', 'mental health', 'beans', 'turmeric', 'spices']"
PLAIN-936,"['plant-based diets', 'soda', 'meat', 'fruit', 'heart health', 'vegetables', 'Coca-Cola', 'vegetarians', 'beverages', 'cardiovascular disease', 'seeds', 'heart disease', 'lifespan', 'nuts', 'mortality']"
PLAIN-937,"['medications', 'mortality', 'nutrition myths', 'rice', 'plant-based diets', 'aspirin', 'dietary guidelines', 'Dr. Caldwell Esselstyn', 'Europe', 'gout', 'exercise', 'cardiovascular disease', 'beriberi', 'statins', 'spices']"
PLAIN-938,"['orange juice', 'limes', 'lettuce', 'lemons', 'oranges', 'phytonutrients', 'vitamin C', 'stroke', 'quercitin', 'plant-based diets', 'juice', 'hesperidin', 'flavonoids', 'citrus', 'cardiovascular health']"
